DAY,TIME,FLIGHT NUMBER,DESTINATION,AIRLINES,REMARK,Unnamed: 6,AIRLINE LOGO
2025-04-01,01/04,00:10,MU 760,Shanghai (pvg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-01,01/04,00:55,K6 894,Zhengzhou (cgo),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,07:00,KT 163,Kuala Lumpur (kul),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-01,01/04,07:05,K6 8121,Ho Chi Minh (sgn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,07:45,KR 507,Hong Kong (hkg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,07:55,ZA 672,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,08:00,CZ 324,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,08:20,K6 668,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,08:40,9C 8534,Shanghai (pvg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,08:50,9C 7322,Shanghai (pvg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,09:10,KR 701,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,09:25,PG 93211,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,09:30,KR 9755,Sanya (syx),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,09:35,SQ 1532,Singapore (sin),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,09:40,TG 5871,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-01,01/04,09:45,FD 609,Don Mueang (dmk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-01,01/04,10:00,K6 1051,Siem Reap (sai),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,10:55,K6 722,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,11:05,VZ 721,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-01,01/04,11:10,MH 7552,Kuala Lumpur (kul),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-01,01/04,11:25,CX 608,Hong Kong (hkg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-01,01/04,11:50,MF 8728,Fuzhou (foc),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,12:05,CZ 8314,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,12:10,KT 169,Kuala Lumpur (kul),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-01,01/04,12:15,ZH 1561,Shenzhen (szx),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZH_small.gif
2025-04-01,01/04,12:20,MF 8646,Xiamen (xmn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,12:25,ZA 674,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,12:35,BR 266,Taipei (tpe),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/BR_0.gif
2025-04-01,01/04,12:40,MU 9610,Kunming (kmg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-01,01/04,13:30,K6 1071,Siem Reap (sai),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,13:50,KR 781,Kuala Lumpur (kul),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,13:55,KR 703,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,14:05,SQ 1553,Singapore (sin),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,14:10,VN 9211,Ho Chi Minh (sgn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-01,01/04,14:55,KR 963,Chongqing (ckg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,15:15,PG 9349,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,15:35,CZ 6060,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,16:30,K6 8501,Hanoi (han),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,16:35,ZA 387,Macau (mfm),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,16:40,K6 8161,Ho Chi Minh (sgn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,16:55,K6 896,Nanning (nng),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,17:05,FD 607,Don Mueang (dmk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-01,01/04,17:40,QR 9716,Ho Chi Minh (sgn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/QR_small.gif
2025-04-01,01/04,17:45,VN 9201,Vientiane (vte),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-01,01/04,17:50,ZA 678,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,18:00,MF 8961,Xiamen (xmn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,18:20,MH 7633,Kuala Lumpur (kul),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-01,01/04,18:50,MU 9628,Kunming (kmg),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-01,01/04,18:55,SQ 1575,Singapore (sin),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,19:05,K6 7601,New Delhi (del),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,19:10,VZ 723,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-01,01/04,19:25,PG 93611,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,20:45,K6 8181,Ho Chi Minh (sgn),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,20:50,EK 349,Singapore (sin),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-01,01/04,21:15,TG 5851,Suvarnabhumi (bkk),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-01,01/04,21:20,9C 8530,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,21:55,9C 7008,Guangzhou (can),,TAKE OFF,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,22:40,KR 961,Chengdu (tfu),,GATE CLOSED,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,22:55,KR 937,Guangzhou (can),,BOARDING,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,23:30,KE 6901,Seoul (icn),,DELAYED,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-01,01/04,23:40,ZA 215,Seoul (icn),,CHECK IN,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,23:50,K6 610,Guangzhou (can),,CHECK IN,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,23:55,OZ 7401,Seoul (icn),,DELAYED,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
2025-04-02,02/04,00:10,MU 760,Shanghai (pvg),,CHECK IN,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-02,02/04,00:20,CA 746,Beijing (pek),,CHECK IN,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CA_Small.gif
2025-04-02,02/04,01:15,2P 26221,Manila (mnl),,CHECK IN,
2025-04-02,02/04,07:00,KT 163,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-02,02/04,07:05,KR 941,Changsha (csx),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,08:00,CZ 324,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-02,02/04,08:05,ZA 672,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-02,02/04,08:15,K6 722,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,08:20,K6 668,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,08:40,9C 8534,Shanghai (pvg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-02,02/04,09:10,KR 701,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,09:15,KT 102,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-02,02/04,09:25,PG 93211,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-02,02/04,09:35,SQ 1532,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-02,02/04,09:40,TG 5871,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-02,02/04,09:45,FD 609,Don Mueang (dmk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-02,02/04,10:00,K6 1051,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,10:50,CI 862,Taipei (tpe),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CI_small.gif
2025-04-02,02/04,11:05,VZ 721,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-02,02/04,11:10,MH 7552,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-02,02/04,11:25,CX 608,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-02,02/04,11:50,MF 86701,Chongqing (ckg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-02,02/04,11:55,KT 600,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-02,02/04,12:05,CZ 8314,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-02,02/04,12:10,K6 830,Phu Quoc (pqc),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,12:15,ZH 1561,Shenzhen (szx),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZH_small.gif
2025-04-02,02/04,12:25,ZA 674,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-02,02/04,12:30,KT 620,Hanoi (han),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-02,02/04,12:35,BR 266,Taipei (tpe),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/BR_0.gif
2025-04-02,02/04,12:40,MU 9610,Kunming (kmg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-02,02/04,13:30,K6 1071,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,13:55,KR 703,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,14:05,SQ 1553,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-02,02/04,14:10,VN 9211,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-02,02/04,14:50,KT 169,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-02,02/04,15:15,PG 9349,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-02,02/04,15:25,QZ 475,Jakarta (cgk),,,
2025-04-02,02/04,15:35,CZ 6060,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-02,02/04,16:30,K6 8501,Hanoi (han),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,16:40,K6 8161,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,17:00,K6 6801,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,17:05,FD 607,Don Mueang (dmk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-02,02/04,17:40,QR 9716,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/QR_small.gif
2025-04-02,02/04,17:45,VN 9201,Vientiane (vte),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-02,02/04,17:50,ZA 678,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-02,02/04,18:00,MF 8961,Xiamen (xmn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-02,02/04,18:20,MH 7633,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-02,02/04,18:30,CX 600,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-02,02/04,18:55,SQ 1575,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-02,02/04,19:10,VZ 723,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-02,02/04,19:25,PG 93611,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-02,02/04,20:10,8M 402,Yangon (rgn),,,
2025-04-02,02/04,20:45,K6 8181,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,20:50,EK 349,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-02,02/04,20:55,VN 9221,Hanoi (han),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-02,02/04,21:15,TG 5851,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-02,02/04,21:55,9C 7008,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-02,02/04,22:55,KR 937,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,23:30,KE 6901,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-02,02/04,23:45,KR 929,Shenzhen (szx),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,23:50,K6 610,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,23:55,OZ 7401,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
2025-04-03,03/04,00:10,MU 760,Shanghai (pvg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-03,03/04,07:00,KT 163,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-03,03/04,07:05,K6 8121,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,07:45,KR 507,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,08:00,CZ 324,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-03,03/04,08:15,K6 722,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,08:35,K6 668,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,08:40,9C 8534,Shanghai (pvg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-03,03/04,09:10,KR 701,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,09:25,PG 93211,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-03,03/04,09:35,SQ 1532,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-03,03/04,09:40,TG 5871,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-03,03/04,09:45,FD 609,Don Mueang (dmk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-03,03/04,10:00,K6 1051,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,11:05,VZ 721,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-03,03/04,11:10,MH 7552,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-03,03/04,11:25,CX 608,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-03,03/04,11:50,MF 8728,Fuzhou (foc),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-03,03/04,12:05,CZ 8314,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-03,03/04,12:10,KT 169,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-03,03/04,12:15,ZH 1561,Shenzhen (szx),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZH_small.gif
2025-04-03,03/04,12:20,MF 8646,Xiamen (xmn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-03,03/04,12:25,ZA 674,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-03,03/04,12:35,BR 266,Taipei (tpe),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/BR_0.gif
2025-04-03,03/04,12:40,MU 9610,Kunming (kmg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-03,03/04,13:00,KT 102,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-03,03/04,13:30,K6 1071,Siem Reap (sai),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,13:50,KR 781,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,13:55,KR 703,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,14:05,SQ 1553,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-03,03/04,14:10,VN 9211,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-03,03/04,15:15,PG 9349,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-03,03/04,15:35,CZ 6060,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-03,03/04,16:30,K6 8501,Hanoi (han),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,16:40,K6 8161,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,17:05,FD 607,Don Mueang (dmk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-03,03/04,17:10,CI 864,Taipei (tpe),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CI_small.gif
2025-04-03,03/04,17:40,QR 9716,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/QR_small.gif
2025-04-03,03/04,17:45,VN 9201,Vientiane (vte),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-03,03/04,17:50,ZA 678,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-03,03/04,18:00,MF 8961,Xiamen (xmn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-03,03/04,18:20,MH 7633,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-03,03/04,18:50,MU 9628,Kunming (kmg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-03,03/04,18:55,SQ 1575,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-03,03/04,19:10,VZ 723,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-03,03/04,19:25,PG 93611,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-03,03/04,20:45,K6 8181,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,20:50,EK 349,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-03,03/04,21:15,TG 5851,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-03,03/04,21:55,9C 7008,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-03,03/04,22:40,KR 961,Chengdu (tfu),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,22:55,KR 937,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,23:30,KE 6901,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-03,03/04,23:40,ZA 215,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-03,03/04,23:50,K6 610,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,23:55,OZ 7401,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
